full_name,Country,National_party,political_group,role
Tamás DEUTSCH,Hungary,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Patriots for Europe Group,Member
Kinga GÁL,Hungary,Fidesz-Magyar Polgári Szövetség,Patriots for Europe Group,Member
Dita CHARANZOVÁ,Czechia,ANO 2011,Renew Europe Group,Member
Jean-Marie CAVADA,France,Union pour la démocratie française,Group of the Alliance of Liberals and Democrats for Europe,Vice-Chair
Andrea BOCSKOR,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Non-attached Members,Substitute
Theresa GRIFFIN,United Kingdom,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Aymeric CHAUPRADE,France,Front national,Europe of Freedom and Direct Democracy Group,Member
Janice ATKINSON,United Kingdom,United Kingdom Independence Party,Europe of Nations and Freedom Group,Substitute
Pascal DURAND,France,Europe Écologie,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Louise BOURS,United Kingdom,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,Substitute
Luke Ming FLANAGAN,Ireland,Independent,The Left group in the European Parliament - GUE/NGL,Substitute
György HÖLVÉNYI,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Patriots for Europe Group,Member
Lynn BOYLAN,Ireland,Sinn Féin,The Left group in the European Parliament - GUE/NGL,Member
Viorica DĂNCILĂ,Romania,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Maria HEUBUCH,Germany,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,Substitute
John Stuart AGNEW,United Kingdom,United Kingdom Independence Party,Europe of Nations and Freedom Group,Substitute
Gilles LEBRETON,France,Front national,Identity and Democracy Group,Substitute
Jean-Paul DENANOT,Belgium,Parti Socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Ivo VAJGL,Slovenia,ZARES-Nova Politika,Group of the Alliance of Liberals and Democrats for Europe,Member
Ramón Luis VALCÁRCEL SISO,Spain,Partido Popular,Group of the European People's Party (Christian Democrats),Member
José Manuel FERNANDES,Portugal,Partido Social Democrata,Group of the European People's Party (Christian Democrats),Member
Laima Liucija ANDRIKIENĖ,Lithuania,Tėvynės sąjunga,Group of the European People's Party (Christian Democrats),Member
Răzvan POPA,Romania,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Angel DZHAMBAZKI,Bulgaria,VMRO,European Conservatives and Reformists Group,Substitute
Carlos ITURGAIZ,Spain,Partido Popular,Group of the European People's Party (Christian Democrats),Substitute
Beata GOSIEWSKA,Poland,Prawo i Sprawiedliwość,European Conservatives and Reformists Group,Substitute
Jean-François JALKH,France,Front national,Identity and Democracy Group,Substitute
Ivan JAKOVČIĆ,Croatia,Istarski demokratski sabor - Dieta democratica istriana,Group of the Alliance of Liberals and Democrats for Europe,Member
Ildikó GÁLL-PELCZ,Hungary,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats),Member
Nedzhmi ALI,Bulgaria,Movement for Rights and Freedoms,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Birgit COLLIN-LANGEN,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),Substitute
Ismail ERTUG,Germany,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Elena GENTILE,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Nikos ANDROULAKIS,Greece,Panhellenic Socialist Movement - Olive Tree,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Eleonora EVI,Italy,Movimento 5 Stelle,Group of the Greens/European Free Alliance,Member
Norbert ERDŐS,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Group of the European People's Party (Christian Democrats),Substitute
Gianluca BUONANNO,Italy,Lega Nord,Europe of Nations and Freedom Group,Substitute
Matt CARTHY,Ireland,Sinn Féin,Group of the European United Left - Nordic Green Left,Substitute
Salvatore CICU,Italy,Forza Italia,Group of the European People's Party (Christian Democrats),Substitute
Zigmantas BALČYTIS,Lithuania,Lietuvos socialdemokratų partija,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Vilija BLINKEVIČIŪTĖ,Lithuania,Lietuvos socialdemokratų partija,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Michael CRAMER,Germany,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,Member
Andor DELI,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Non-attached Members,Substitute
Beatriz BECERRA BASTERRECHEA,Spain,"Unión, Progreso y Democracia",Group of the Alliance of Liberals and Democrats for Europe,Vice-Chair
Clara AGUILERA,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Hugues BAYET,Belgium,Parti Socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Dominique BILDE,France,Front national,Identity and Democracy Group,Member
Georgios EPITIDEIOS,Greece,Popular Association – Golden Dawn,Non-attached Members,Member
Steeve BRIOIS,France,Front national,Europe of Nations and Freedom Group,Member
Marina ALBIOL GUZMÁN,Spain,Izquierda Unida,Confederal Group of the European United Left - Nordic Green Left,Member
Nicolas BAY,France,Front national,European Conservatives and Reformists Group,Substitute
Marie-Christine ARNAUTU,France,Front national,Europe of Nations and Freedom Group,Substitute
Doru-Claudian FRUNZULICĂ,Romania,Uniunea Națională pentru Progresul României,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Lars ADAKTUSSON,Sweden,Kristdemokraterna,Group of the European People's Party (Christian Democrats),Member
Renata BRIANO,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Daniel BUDA,Romania,Partidul Democrat-Liberal,Group of the European People's Party (Christian Democrats),Substitute
Lefteris CHRISTOFOROU,Cyprus,Dimocraticos Synagermos,Group of the European People's Party (Christian Democrats),Member
Pál CSÁKY,Slovakia,Strana mad'arskej komunity- Magyar Közösség Pártja,Group of the European People's Party (Christian Democrats),Vice-Chair
Michel DANTIN,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Substitute
Mireille D'ORNANO,France,Front national,Europe of Freedom and Direct Democracy Group,Substitute
Bas EICKHOUT,Netherlands,GroenLinks,Group of the Greens/European Free Alliance,Substitute
Jens GIESEKE,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),Substitute
Tania GONZÁLEZ PEÑAS,Spain,PODEMOS,Confederal Group of the European United Left - Nordic Green Left,Member
Jussi HALLA-AHO,Finland,Perussuomalaiset,European Conservatives and Reformists Group,Substitute
Raffaele FITTO,Italy,Forza Italia,European Conservatives and Reformists Group,Substitute
Monika BEŇOVÁ,Slovakia,Smer,Non-attached Members,Substitute
David CASA,Malta,Partit Nazzjonalista,Group of the European People's Party (Christian Democrats),Member
Javier COUSO PERMUY,Spain,Izquierda Unida,Confederal Group of the European United Left - Nordic Green Left,Member
Marian HARKIN,Ireland,-,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Jarosław KALINOWSKI,Poland,Polskie Stronnictwo Ludowe,Group of the European People's Party (Christian Democrats),Substitute
Cristian-Silviu BUŞOI,Romania,Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats),Member
Biljana BORZAN,Croatia,Socijaldemokratska partija Hrvatske,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Olle LUDVIGSSON,Sweden,Arbetarepartiet- Socialdemokraterna,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Patricia LALONDE,France,Union des Démocrates et Indépendants,Group of the Alliance of Liberals and Democrats for Europe,Member
Aleksejs LOSKUTOVS,Latvia,"Partija ""VIENOTĪBA""",Group of the European People's Party (Christian Democrats),Member
Christian de la MALÈNE,France,Défence des intérêts de la France en Europe,Group of the European Democratic Alliance,Member
Ralph PACKET,Belgium,Nieuw-Vlaamse Alliantie,European Conservatives and Reformists Group,Member
Hector RIVIEREZ,France,Défence des intérêts de la France en Europe,Group of European Progressive Democrats,Member
Altiero SPINELLI,Italy,Indipendenti di sinistra,Communist and Allies Group,Chair
Vera SQUARCIALUPI,Italy,Indipendenti di sinistra,Communist and Allies Group,Member
Protogene VERONESI,Italy,Partito comunista italiano,Communist and Allies Group,Member
Giuseppe VITALE,Italy,Partito comunista italiano,Communist and Allies Group,Member
Babette WINTER,Germany,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Hannes HANSO,Estonia,Sotsiaaldemokraatlik Erakond,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Matteo ADINOLFI,Italy,Lega,Identity and Democracy Group,Member
Magdalena ADAMOWICZ,Poland,Independent,Group of the European People's Party (Christian Democrats),Substitute
Alex AGIUS SALIBA,Malta,Partit Laburista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Mazaly AGUILAR,Spain,VOX,European Conservatives and Reformists Group,Substitute
Scott AINSLIE,United Kingdom,Green Party,Group of the Greens/European Free Alliance,Member
Alexander ALEXANDROV YORDANOV,Bulgaria,Union of Democratic Forces,Group of the European People's Party (Christian Democrats),Member
Atidzhe ALIEVA-VELI,Bulgaria,Movement for Rights and Freedoms,Renew Europe Group,Member
Christian ALLARD,United Kingdom,Scottish National Party,Group of the Greens/European Free Alliance,Substitute
Abir AL-SAHLANI,Sweden,Centerpartiet,Renew Europe Group,Vice-Chair
Álvaro AMARO,Portugal,Partido Social Democrata,Group of the European People's Party (Christian Democrats),Substitute
Andris AMERIKS,Latvia,Gods kalpot Rīgai,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Christine ANDERSON,Germany,Alternative für Deutschland,Europe of Sovereign Nations Group,Member
Rasmus ANDRESEN,Germany,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,Member
Mathilde ANDROUËT,France,Rassemblement national,Patriots for Europe Group,Member
Attila ARA-KOVÁCS,Hungary,Demokratikus Koalíció,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Clotilde ARMAND,Romania,Uniunea Salvați România,Renew Europe Group,Substitute
Bartosz ARŁUKOWICZ,Poland,Platforma Obywatelska,Group of the European People's Party (Christian Democrats),Member
Konstantinos ARVANITIS,Greece,Coalition of the Radical Left,The Left group in the European Parliament - GUE/NGL,Member
Anna-Michelle ASIMAKOPOULOU,Greece,Nea Demokratia,Group of the European People's Party (Christian Democrats),Substitute
Manon AUBRY,France,La France Insoumise,The Left group in the European Parliament - GUE/NGL,Vice-Chair
Carmen AVRAM,Romania,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Malik AZMANI,Netherlands,Volkspartij voor Vrijheid en Democratie,Renew Europe Group,Substitute
Simona BALDASSARRE,Italy,Lega,Identity and Democracy Group,Member
Marek Paweł BALT,Poland,Sojusz Lewicy Demokratycznej,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Jordan BARDELLA,France,Rassemblement national,Patriots for Europe Group,Member
Katarina BARLEY,Germany,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Pernando BARRENA ARZA,Spain,EH BILDU,The Left group in the European Parliament - GUE/NGL,Substitute
Pietro BARTOLO,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Traian BĂSESCU,Romania,Partidul Mișcarea Populară,Group of the European People's Party (Christian Democrats),Member
Alessandra BASSO,Italy,Lega,Identity and Democracy Group,Member
José Ramón BAUZÁ DÍAZ,Spain,Ciudadanos – Partido de la Ciudadanía,Renew Europe Group,Member
Gunnar BECK,Germany,Alternative für Deutschland,Non-attached Members,Member
Nicola BEER,Germany,Freie Demokratische Partei,Renew Europe Group,Member
Aurélia BEIGNEUX,France,Rassemblement national,Identity and Democracy Group,Member
Marek BELKA,Poland,Sojusz Lewicy Demokratycznej,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
